P_Id,Question,A1,A2,A3,A4,A5,A6,A7,A8,A1ID,A2ID,A3ID,A4ID,A5ID,A6ID,A7ID,A8ID,C1,C2,C3,C4,C5,C6,C7,C8,Category
4211,"After inventorying the VM, where do you get the Service Tag of the VM?",By using the Service Tag of the physical machine it is hosted on.,By checking the UUID of the VM.,By writing down the Serial Tag of the VM which is displayed when the VM goes through the inventory    process.,By using the VM's hostname.,,,,,aaR7fAYEnK,iibjNKocXh,6ePj6aF66M,MMKHQhLIUV,9RHd4IzWTt,UHXVo7uIaf,63JK9FIDCG,0QsbjnGLqx,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VM
4212,"Once you are done building your VM, how do you change the VLAN to live?","No need to. Once the VM is done building, it will auto-flip to its live VLAN.","By right clicking the VM in vSphere, selecting Edit Settings and clicking on Network Adaptor to select from the list of VLANs.",Go to the settings of the host server and manage the VLAN settings for the individual machines through the VLAN menu,By raising a ticket to Networking team to flip port to LIVE,,,,,W03hbmpe6C,0ysxD9boMh,jaoavgkyg8,lyxqpNeliw,awBH42xcYK,U2MmxVU2W6,b288qKach1,51gpgWJQhD,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VM
4213,Windows VMs need to have their static IPs set manually before changing their VLAN to live.,TRUE,FALSE,,,,,,,l31iSdseNT,RGHjb5Raba,kVK0wqkKg9,0ywNSKoLlZ,y4qhr3ZuyQ,Xu4RyAr1WC,3S9OTtj4BA,PgYlMrECRD,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VM
4214,You must power off a server to replace a power vault RAID Module Battery,TRUE,FALSE,,,,,,,HMwCq7q7Ry,vys7u1XoNs,qQf6rFwvc4,iwQcNBif9W,k1SpmWem2g,GPBiD1HBlV,K64Xq0Rpt3,RSp1iz9ZSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hardware
4215,What color cable should be used for single corded devices?,Blue,Green,Orange,Yellow,Red,,,,3lOCEqGQuO,hnvfecFHzh,kUxDaZSJuY,5nXMu6gCMC,1v8fspIlVl,sLqTuiYlCP,H8vFT5ASUi,6c57rYXslU,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Policy
4216,What MegaCli command will show the state of the RAID Controller?,MegaCli -AdpAllInfo -aALL,MegaCli -LDInfo -Lall -aALL,MegaCli -PDList -aALL,MegaCli -PdPrpRmv -PhysDrv [E:S] -aN,,,,,u1pbVcV8cT,g7PaRswlM0,TSpgnI84rK,X90z8T2EoX,FEDLzqHP8F,LhoaRLLjXm,f3PC6i7qd8,B28ZDooNQ7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4217,What MegaCli command will show the health of the physical disks?,MegaCli -AdpAllInfo -aALL,MegaCli -LDInfo -Lall -aALL,MegaCli -PDList -aALL,MegaCli -PdPrpRmv -PhysDrv [E:S] -aN,,,,,66r9iwPjSp,7I46irLL0p,r1aKQvsbbn,YX62VKqIrG,a7T3zIiSZo,sYx95f6RrW,eOhEBjNbjI,acuCpuhhlh,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4218,If a server owner requests a server to be rebuilt with a new OS - what tool should be used to update the OS version?,Server Inventory Editor,OS Editor in SMDB,Server Bulk Update Tool,,,,,,nVgx4Y3bmr,QRrPQdrZJL,oFrGOV5znQ,Sm3dODelAt,8WRP0OF2xb,i346oSDKSi,5CYGIDZoan,0fypOCXMHa,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
4219,The IP Settings for a server are located where?,Server Inventory Editor,SMDB,ServiceNow,Confluence,,,,,FpRRLi90Pg,KV1Z0Qdeou,LxPOVjeN8e,Ik5weBjdhc,p5XZX5InRM,qC1HtiJd6C,evbKHA2DUI,Ga8leQKZ11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Troubleshooting
4220,Which of the following Change Orders are not allowed to be deployed during a Change Freeze?,Hard Drive Swap,Power Supply Swap,Single Bit Error RAM Swaps,Emergency Chassis Swaps,,,,,hFXdhYESHO,GW27hJLAcx,kPabFozPVV,59eWDKE3j2,z4TObSBCA8,Zn5TQCFWI3,yZ8VUHRfDH,fTql9r7vaW,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Policy
